date,jackpot,winners
2023-10-01,49500000.0,0
2023-10-03,49500000.0,0
2023-10-06,49500000.0,0
2023-10-08,49500000.0,0
2023-10-10,49500000.0,0
2023-10-13,49500000.0,0
2023-10-15,49500000.0,0
2023-10-17,49500000.0,0
2023-10-20,52222306.8,0
2023-10-22,57271281.8,0
2023-10-24,61709609.8,0
2023-10-27,67460083.6,0
2023-10-29,73078774.2,0
2023-10-31,89000000.0,0
2023-11-03,94199198.8,0
2023-11-05,99535210.2,0
2023-11-07,104713125.8,0
2023-11-10,112152500.6,0
2023-11-12,118446366.2,0
2023-11-14,124497431.0,0
2023-11-17,132646041.8,0
2023-11-19,139853615.8,0
2023-11-21,146625053.0,0
2023-11-24,155077545.4,0
2023-11-26,162687385.0,0
2023-11-28,169857268.6,0
2023-12-01,179526061.8,0
2023-12-03,188158003.8,0
2023-12-05,196562545.0,0
2023-12-08,206133372.2,0
2023-12-10,215732438.6,0
2023-12-12,224943521.8,0
2023-12-15,235859508.2,0
2023-12-17,500000000.0,0
2023-12-19,513100080.4,0
2023-12-22,530527560.8,0
2023-12-24,539740307.2,0
2023-12-26,553048661.6,0
2023-12-29,571554916.4,1
2023-12-31,49500000.0,0
