date,n1,n2,n3,n4,n5,n6
2022-01-03,1,2,16,24,33,39
2022-01-05,29,40,44,50,53,54
2022-01-08,6,18,41,43,44,48
2022-01-10,3,14,37,41,44,50
2022-01-12,5,14,29,32,40,45
2022-01-15,9,19,20,21,29,39
2022-01-17,6,13,17,19,23,25
2022-01-19,11,13,18,45,49,51
2022-01-22,6,17,32,39,41,49
2022-01-24,4,17,28,29,36,49
2022-01-26,5,6,12,15,29,54
2022-01-29,22,28,35,41,52,55
2022-01-31,2,19,30,34,38,48
2022-02-02,7,9,11,24,32,49
2022-02-05,5,33,34,36,39,41
2022-02-07,6,7,17,29,38,41
2022-02-09,17,21,45,49,52,55
2022-02-12,2,32,33,36,46,55
2022-02-14,1,13,30,38,46,54
2022-02-16,2,6,8,9,15,22
2022-02-19,6,7,39,46,47,54
2022-02-21,9,12,31,36,43,48
2022-02-23,7,19,37,44,48,50
2022-02-26,5,9,16,43,46,54
2022-02-28,15,35,43,49,52,55
2022-03-02,1,11,20,25,28,55
2022-03-05,13,15,39,42,43,49
2022-03-07,16,24,34,44,48,53
2022-03-09,4,20,29,30,34,46
2022-03-12,6,10,32,44,49,53
2022-03-14,9,15,17,35,39,45
2022-03-16,6,9,20,29,32,47
2022-03-19,15,16,24,30,33,37
2022-03-21,5,8,10,15,23,36
2022-03-23,7,10,23,24,35,36
2022-03-26,4,16,18,27,28,51
2022-03-28,8,23,29,34,51,55
2022-03-30,10,17,19,22,52,54
2022-04-02,16,17,31,33,35,49
2022-04-04,1,2,25,37,48,53
2022-04-06,6,23,26,43,44,53
2022-04-09,1,17,41,44,50,52
2022-04-11,4,24,32,37,40,55
2022-04-13,6,21,30,45,51,55
2022-04-18,18,19,24,37,42,52
2022-04-20,15,27,34,42,43,46
2022-04-23,15,20,24,25,39,48
2022-04-25,5,10,21,30,43,50
2022-04-27,23,35,38,47,52,54
2022-04-30,6,9,20,36,37,50
2022-05-02,9,29,36,37,50,52
2022-05-04,23,25,34,41,42,48
2022-05-07,14,19,20,25,27,45
2022-05-09,8,11,32,33,41,42
2022-05-11,7,8,11,31,45,54
2022-05-14,17,19,27,34,41,53
2022-05-16,10,11,17,29,34,50
2022-05-18,9,22,23,26,48,51
2022-05-21,10,13,14,16,19,40
2022-05-23,2,6,12,42,44,48
2022-05-25,13,23,42,46,52,53
2022-05-28,2,3,15,33,41,46
2022-05-30,21,22,37,38,51,55
2022-06-01,10,21,25,42,44,51
2022-06-04,16,31,44,46,50,53
2022-06-06,1,24,28,32,37,48
2022-06-08,1,21,31,48,52,55
2022-06-11,5,6,8,14,32,33
2022-06-13,1,9,14,17,37,50
2022-06-15,9,13,36,41,45,49
2022-06-18,5,18,21,48,52,55
2022-06-20,2,36,46,47,49,51
2022-06-22,6,10,17,39,53,54
2022-06-25,16,22,31,39,41,51
2022-06-27,1,20,21,40,49,55
2022-06-29,2,7,9,24,39,51
2022-07-02,9,13,25,31,35,41
2022-07-04,1,6,9,29,33,42
2022-07-06,3,6,14,26,49,55
2022-07-09,2,7,18,19,47,49
2022-07-11,12,24,30,40,41,52
2022-07-13,3,6,13,26,34,52
2022-07-16,9,13,16,28,33,36
2022-07-18,6,8,24,29,32,48
2022-07-20,10,14,20,33,46,55
2022-07-23,2,5,23,33,36,41
2022-07-25,10,20,32,35,39,45
2022-07-27,7,15,22,27,40,54
2022-07-30,6,19,29,33,37,50
2022-08-01,12,15,33,42,51,54
2022-08-03,7,28,35,43,49,51
2022-08-06,5,14,16,19,21,29
2022-08-08,12,29,30,34,42,47
2022-08-10,14,17,19,20,40,41
2022-08-13,6,18,19,23,25,36
2022-08-15,12,14,22,26,29,53
2022-08-17,8,17,23,33,37,42
2022-08-20,7,24,25,45,47,49
2022-08-22,1,24,30,33,40,45
2022-08-24,3,4,17,34,35,36
2022-08-27,1,5,27,32,34,41
2022-08-29,9,16,18,19,29,52
2022-08-31,3,9,12,15,16,17
2022-09-03,17,21,25,33,46,51
2022-09-05,9,10,11,38,48,54
2022-09-07,6,7,33,36,38,39
2022-09-10,6,18,28,42,46,48
2022-09-12,17,18,23,28,36,45
2022-09-14,15,17,18,24,34,36
2022-09-17,6,18,20,29,44,52
2022-09-19,15,17,20,30,34,46
2022-09-21,11,31,40,42,48,50
2022-09-24,30,34,36,42,45,52
2022-09-26,3,7,34,46,50,52
2022-09-28,11,26,33,46,51,54
2022-10-01,9,18,27,36,45,54
2022-10-03,8,10,12,14,26,51
2022-10-05,9,31,32,33,34,37
2022-10-08,6,17,22,42,43,44
2022-10-10,3,15,28,36,41,51
2022-10-12,14,19,24,25,31,54
2022-10-15,20,37,41,42,45,54
2022-10-17,20,29,37,40,46,48
2022-10-19,5,11,16,22,40,47
2022-10-22,7,36,44,46,50,52
2022-10-24,27,32,36,37,39,53
2022-10-26,2,6,29,33,35,45
2022-10-29,5,11,15,18,42,52
2022-10-31,5,26,30,35,51,54
2022-11-02,13,16,22,27,38,43
2022-11-05,3,15,19,34,37,40
2022-11-07,10,16,22,49,51,55
2022-11-09,1,2,22,25,28,41
2022-11-12,15,18,23,24,26,32
2022-11-14,2,7,9,12,40,51
2022-11-16,2,19,41,45,47,54
2022-11-19,3,25,27,45,46,54
2022-11-21,17,25,28,31,45,48
2022-11-23,15,26,35,40,48,51
2022-11-26,11,18,20,21,30,45
2022-11-28,9,13,21,32,34,40
2022-11-30,4,8,13,17,28,45
2022-12-03,15,40,43,47,53,55
2022-12-05,2,19,24,43,48,52
2022-12-07,10,14,22,26,28,54
2022-12-10,5,24,35,44,47,53
2022-12-12,4,12,42,43,47,49
2022-12-14,9,11,12,16,43,46
2022-12-17,8,13,29,33,38,50
2022-12-19,8,11,24,38,45,48
2022-12-21,7,13,14,19,30,54
2022-12-24,9,21,41,43,47,51
2022-12-26,5,10,20,21,29,50
2022-12-28,17,20,25,30,41,42
2022-12-31,5,9,13,27,35,39
